Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Band of Angels,https://www.crunchbase.com/organization/band-of-angels,98,21,"Menlo Park, California, United States",Band of Angels is an investing company offering financial and advisory services to start-up companies.,Angel Group,"Early Stage Venture, Late Stage Venture, Seed",75,,
Amicus Capital,https://www.crunchbase.com/organization/amicus-capital,98,31,"San Francisco, California, United States","Amicus Capital was founded in 1998 by Bob Zipp and Jim Brock, and focuses on a wide range of capital investment.",Venture Capital,Seed,76,,
Northgate Capital,https://www.crunchbase.com/organization/northgate-capital,98,31,"Danville, California, United States",venture capital direct investments for expansion-stage high-tech startups; venture capital and private equity fund-of-funds,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",68,,
Advancit Capital,https://www.crunchbase.com/organization/advancit-capital,98,14,"Norwood, Massachusetts, United States","Advancit Capital focuses on early stage companies at the intersection of media, entertainment and technology.",Micro VC,"Debt, Early Stage Venture, Seed",68,,
RockPort Capital,https://www.crunchbase.com/organization/rockport-capital-partners,98,16,"Boston, Massachusetts, United States","RockPort Capital Partners is a leading venture capital firm that invests in the areas of energy, mobility, and sustainability.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",42,,
Birchmere Ventures,https://www.crunchbase.com/organization/birchmere-ventures,98,27,"Pittsburgh, Pennsylvania, United States","Seed/early stage fund; >$200m AUM, 5 funds since 1996; portfolio market cap >$15b; offices in Pittsburgh and Palo Alto.",Venture Capital,"Early Stage Venture, Seed",65,,
Kickstart Seed Fund,https://www.crunchbase.com/organization/kickstart-seed-fund,97,5,"Salt Lake City, Utah, United States",Kickstart is an early-stage VC fund based in Utah.,"Micro VC, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",70,,
Hearst Ventures,https://www.crunchbase.com/organization/hearst-interactive-media,97,25,"New York, New York, United States","Hearst Ventures, a corporate venture fund, invests in early-stage information, software and technologycompanies",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",63,,
Rho Capital Partners,https://www.crunchbase.com/organization/rho-capital-ventures,97,35,"New York, New York, United States","Rho Capital Partners, an American private equity firm, offers long-term investments to IT, new media, healthcare, and energy tech companies.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",68,,
Allegis Capital,https://www.crunchbase.com/organization/allegis-capital,97,21,"Palo Alto, California, United States",Allegis Capital invests in early stage companies developing technology and software to serve emerging markets.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",51,,
Rho Ventures,https://www.crunchbase.com/organization/rho-ventures,97,26,"New York, New York, United States",Rho Ventures is a private equity firm that invests in high growth companies across multiple sectors.,"Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",59,,
Amplify.LA,https://www.crunchbase.com/organization/amplify-la,96,11,"Venice, California, United States","Amplify is a pre-seed fund in Venice, CA dedicated to backing strong teams at the earliest stages and supporting from first check to exit.",Venture Capital,"Early Stage Venture, Seed",57,,
Rock Health,https://www.crunchbase.com/organization/rock-health,96,13,"San Francisco, California, United States",Rock Health is a seed fund investing in digital health startups.,Micro VC,"Early Stage Venture, Seed",83,,
TPG,https://www.crunchbase.com/organization/texas-pacific-group,96,27,"Austin, Texas, United States",TPG is a global private investment firm with approximately $45 billion of capital under management across a family of funds.,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",79,,
DHVC (Danhua Capital),https://www.crunchbase.com/organization/danhua-capital,95,2,"Palo Alto, California, United States",DHVC (Danhua Capital) is a California-based venture capital fund investing primarily in early-stage technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",74,,
Brainchild Holdings,https://www.crunchbase.com/organization/trisiras-group,95,22,"Newtown, Pennsylvania, United States",Brainchild Holdings manages Kal Vepuri's operating companies and long-term investment holdings.,"Micro VC, Venture Capital","Early Stage Venture, Seed",87,,
Longworth Venture Partners,https://www.crunchbase.com/organization/longworth-venture-partners,95,29,"Waltham, Massachusetts, United States",Longworth Venture Partners is a Boston-based VC investing in early-stage technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",52,,
Capital Factory,https://www.crunchbase.com/organization/capital-factory,94,7,"Austin, Texas, United States","Capital Factory is the center of gravity for tech startups in Texas. We operate an accelerator, two funds and a 60skf co-working space.","Accelerator, Co-Working Space, Incubator, Venture Capital","Early Stage Venture, Seed",77,On-Site,24
Paladin Capital Group,https://www.crunchbase.com/organization/paladin-capital-group,94,28,"Washington, District of Columbia, United States",Paladin is a global investor that supports innovative technology companies through venture investment and growth capital.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",60,,
TA Associates,https://www.crunchbase.com/organization/ta-associates,94,44,"Boston, Massachusetts, United States",TA Associates is one of the oldest and largest private equity firms in the world.,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",89,,
Cultivation Capital,https://www.crunchbase.com/organization/cultivation-capital,94,3,"St Louis, Missouri, United States","Cultivation Capital is a Missouri-based venture capital firm that invests in early-stage technology, software, and life sciences companies.",Venture Capital,"Early Stage Venture, Seed",46,,
CMEA Capital,https://www.crunchbase.com/organization/cmea-capital,94,34,"San Francisco, California, United States","CMEA Capital caters seed, early, and later stage venture, private equity, and debt financing investments and is based in California.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",60,,
Integral Capital Partners,https://www.crunchbase.com/organization/integral-capital-partners,94,39,"Menlo Park, California, United States",Integral Capital Partners operates a family of partnerships that invests in expansion-stage private and growth-stage public companies in,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",64,,
Ann Arbor SPARK,https://www.crunchbase.com/organization/ann-arbor-spark,93,12,"Ann Arbor, Michigan, United States",Ann Arbor SPARK is Ann Arbor’s engine for economic development.,Accelerator,"Debt, Early Stage Venture, Seed",83,,
Freestyle Capital,https://www.crunchbase.com/organization/freestyle-capital,93,24,"San Francisco, California, United States",Freestyle Capital is a California-based venture capital that is focused on early stage technology companies.,"Micro VC, Venture Capital","Early Stage Venture, Seed",68,,
XG Ventures,https://www.crunchbase.com/organization/xg-ventures,93,17,"Menlo Park, California, United States","XG Ventures focuses on the consumer internet, including the mobile, video, gaming, social media, and online media sectors.",Micro VC,"Early Stage Venture, Seed",69,,
Village Ventures,https://www.crunchbase.com/organization/village-ventures,93,25,"Williamstown, Massachusetts, United States",Village Ventures makes early stage investments in digital media and services and financial services.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",55,,
"Hercules Capital, Inc.",https://www.crunchbase.com/organization/herculescapital,92,49,"Palo Alto, California, United States","Hercules Capital, a California-based company, lends to technology, life sciences, and sustainable technology companies.",Venture Debt,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",82,,
Chase Capital Partners,https://www.crunchbase.com/organization/chase-capital-partners,92,37,"New York, New York, United States","Commercial Banking serves more than 30,000 clients, including corporations, municipalities, financial institutions and not-for-profit",Investment Bank,"Early Stage Venture, Late Stage Venture",83,,
Agility Capital,https://www.crunchbase.com/organization/agility-capital,92,26,"Santa Barbara, California, United States","Agility Capital, a venture debt fund, offers senior debt solutions to venture capital-backed private companies in the Western United States.",Venture Debt,"Convertible Note, Debt, Non Equity Assistance, Post-Ipo",91,,
ATA Ventures,https://www.crunchbase.com/organization/ata-ventures,92,17,"Redwood City, California, United States",ATA Ventures is a venture capital firm focused on seeking out early stage private companies which appear to offer above average prospects,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",44,,
Palomar Ventures,https://www.crunchbase.com/organization/palomar-ventures,92,32,"Ladera Ranch, California, United States",Palomar Ventures was launched in 1999 by veteran venture capitalists to focus on early stage information technology companies that,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",43,,
Healthbox,https://www.crunchbase.com/organization/healthbox,91,4,"Chicago, Illinois, United States","Healthbox is a an innovation consulting and fund management services firm, helping organization build and sustain innovation strategies.",,,85,On-Site,
